Date,Topics,6e sec,6e pages,7e sec,7e pages,8e sec,8e pages,Tutorials
28 Aug,Introduction to astronomy,1.1-1.2,1-15,1,2-16,,,
30 Aug,The celestial sphere,2.1,26-30,2.1,25-30,,,1-4 (Motion, Part I)
4 Sept,The daily motion of the sky,2.1,30-34,2.1,31-32,,,5-6 (Motion, Part II)
6 Sept,The yearly motion of the sky,2.2,34-41,2.2,32-38,,,7-12;13-16
11 Sept,Solar and sidereal days,2.2,34-41,(continued),(continued),,,13-16
13 Sept,The seasons,2.2,34-41,2.3,39-42,,,93-98 (Seasons)
18 Sept,Finishing the seasons; phases of the Moon,2.3,41-48,2.3-4,42-48,,,81-88 (Moon phases)
20 Sept,Finishing phases of the Moon; things that don’t fit,2.4,48-56,3.1-2,54-61,,,
25 Sept,EXAM 1,,,,,,,
27 Sept,From geocentrism to heliocentrism,3.2,61-64,3.3,61-65,3.3,61-67,
2 Oct,Kepler’s laws of orbital motion,3.3-4,64-75,3.3-4,65-75,3.3-4,65-75,21-28
4 Oct,The law of universal gravitation,4.4,98-107,4.1-2,83-90,4.1-2,83-90,
9 Oct,Newton’s laws of motion,4.2,89-92,(continued),(continued),(continued),(continued),29-32
11 Oct,Conservation laws and planetary motion,4.3,92-98,4.3,90-100,4.3,90-100,Provided
16 Oct,EXAM 2,,,,,,,
18 Oct,The nature of science,3.4,70-80,,,,,None
23 Oct,The nature of light,5.1,111-117,,,,,47-49
25 Oct,Thermal radiation,5.2,117-125,,,,,59-62
30 Oct,Atomic energy levels; absorption and emission,,(continued),,,,,65-69
1 Nov,Putting it all together: spectroscopy,,(continued),,,,,71-74
6 Nov,Composition of and workings of the Sun,10.1,287-297,,,,,None
8 Nov,EXAM 3,,,,,,,
13 Nov,The formation of stars and planets,6.2-6.4,157-173,,,,,111-112
15 Nov,The nature of atmospheres,7.2-7.5,202-230,,,,,105-110
27 Nov,Climate change in depth,(continued),(continued),,,,,
29 Nov,Spaceflight: getting to the Moon,,,,,,,
4 Dec,Humanity and the cosmos: ad astra per aspera!,,,,,,,
6 Dec,Humanity and the cosmos: ad astra per aspera!,,,,,,,
11 Dec,**FINAL EXAM**: 3pm-5pm,,,,,,,
